date,open,high,low,close,volume
2023-01-06,1251.15776908,1276.64830433,1235.03080684,1269.27759064,818660.5595632693
2023-01-05,1256.37434363,1260.21482293,1241.51538591,1251.38335028,603460.2076728004
2023-01-04,1214.73688199,1273.14267049,1212.37001343,1256.62241239,1082840.1412170688
2023-01-03,1213.72266323,1219.70160392,1204.60219063,1214.22982766,458669.4181332781
2023-01-02,1200.84298366,1224.50747536,1193.14429688,1214.51138043,550613.8366435805
2023-01-01,1195.47922674,1204.65491387,1190.55763657,1200.25791885,276363.49793871527
2022-12-31,1199.53352576,1209.06460165,1191.03608301,1195.50690357,361375.79018558934
2022-12-30,1200.0407289,1220.86391527,1181.11356358,1199.83954923,598343.489264976
2022-12-29,1189.71807784,1206.87024417,1186.27751943,1200.47787792,620050.2087065188
2022-12-28,1211.16239707,1215.50126585,1180.59816024,1189.32607291,857006.4616964498
2022-12-27,1227.7877439,1234.16984421,1200.32843895,1211.19365962,576977.0978435428
2022-12-26,1218.38911382,1231.09987775,1212.07203259,1227.94882781,360022.7718472174
2022-12-25,1220.80106101,1225.23858781,1192.95560355,1218.60975889,523985.66380861343
2022-12-24,1219.9598085,1228.76176902,1214.10922471,1220.37910597,311819.5289187252
2022-12-23,1219.59805686,1231.75524941,1211.1480734,1219.93764439,694152.6025902269
2022-12-22,1213.81619656,1238.53879187,1182.48876568,1217.60154886,855606.1841440895
2022-12-21,1217.12445029,1223.68237881,1202.29400667,1213.66296807,594664.472448578
2022-12-20,1167.64353273,1231.52710209,1163.12428412,1216.93672026,971898.9537679588
2022-12-19,1183.50077618,1201.58651424,1150.57801676,1167.68596536,762781.7201428951
2022-12-18,1187.18111954,1198.49819886,1170.87197,1183.18935729,467712.0515555321
2022-12-17,1166.99814443,1190.21026747,1162.03424252,1187.07761824,712090.6247901777
2022-12-16,1267.04007154,1279.99044363,1155.28542832,1166.65029717,1653466.6166742407
2022-12-15,1307.54108234,1311.29294669,1259.20764964,1266.67298378,984702.7672035327
2022-12-14,1320.52040858,1352.73392795,1300.93882272,1307.30695674,1298338.318142963
2022-12-13,1276.08575077,1351.59400724,1255.20582914,1320.69157878,1303037.9656958191
2022-12-12,1263.1295696,1279.15290293,1240.09485435,1275.33231916,808250.9383607993
2022-12-11,1266.50589617,1284.68194286,1256.09322135,1263.05252038,417795.8776620657
2022-12-10,1263.1001655,1283.83097231,1259.4266508,1266.37354887,395542.7349930332
2022-12-09,1280.20036595,1297.40009251,1255.72904545,1262.9547127,851300.9311271019
2022-12-08,1231.26020382,1292.9082977,1222.16232792,1280.00503541,941417.417605851
2022-12-07,1271.30890584,1278.61184279,1217.01927238,1231.21296575,846689.7634433429
2022-12-06,1259.54394463,1274.50873269,1241.75439916,1271.17574982,712682.7283477362
2022-12-05,1279.63203159,1305.37996264,1246.48318607,1259.35938093,877131.5828524494
2022-12-04,1240.81109976,1287.44829688,1240.33520652,1279.44510858,592962.2495563664
2022-12-03,1295.78400412,1309.24667527,1236.05576289,1240.3320752,692532.1233737958
2022-12-02,1276.44758737,1297.47470975,1264.97700212,1295.5509827,784853.5253240324
2022-12-01,1294.75341045,1311.62640768,1258.74157024,1276.46145072,902970.3945021833
2022-11-30,1216.64288038,1311.60000944,1212.02054277,1294.39430345,1558670.9509657556
2022-11-29,1167.48023697,1227.4851237,1158.08670356,1216.46262848,1065875.6383823839
2022-11-28,1193.29362577,1268.96325058,1150.24814423,1167.83192448,1024079.5734967034
2022-11-27,1204.85354047,1223.62502692,1188.32042163,1193.92778134,557453.7978694532
2022-11-26,1198.68716116,1235.98746555,1195.59728263,1205.74466454,732113.4140899432
2022-11-25,1202.77804552,1207.26359989,1171.04152759,1199.40787741,815001.4016362579
2022-11-24,1183.88322064,1228.22014348,1179.2531061,1203.80076089,1053953.728983535
2022-11-23,1138.20095595,1190.23614302,1126.28643489,1184.34730996,1407437.1942119363
2022-11-22,1105.89946075,1145.48424211,1073.3630631,1139.61330108,1621246.7090952944
2022-11-21,1140.43799583,1147.74895044,1079.49320014,1107.40005888,1988099.3521833485
2022-11-20,1216.32803506,1225.81984387,1132.22382554,1141.64557423,1110992.775141544
2022-11-19,1211.04417436,1232.36348151,1196.34145777,1217.98769707,448495.04693589755
2022-11-18,1199.41979028,1234.62239423,1197.9979522,1212.33212967,791326.8051641133
2022-11-17,1215.21631294,1227.87171922,1180.64816296,1200.47217249,1089026.8413747903
2022-11-16,1251.95288854,1268.98381451,1185.69846404,1216.19215644,1401220.9380061976
2022-11-15,1241.58279917,1290.04944867,1233.22232793,1253.06835612,1346598.9803047031
2022-11-14,1220.22285827,1292.62951836,1169.51678237,1243.25369717,1902342.886960695
2022-11-13,1255.44957974,1274.80591089,1200.28178469,1221.90734063,1026821.3222860306
2022-11-12,1287.10507283,1302.87703208,1236.27497213,1257.86583943,1105190.3825050022
2022-11-11,1302.72938131,1354.20060377,1203.99372117,1288.47099748,2831727.74064735
2022-11-10,1108.31839655,1445.17358776,1089.79091502,1301.33930864,4011218.2226485475
2022-11-09,1335.415798,1339.82932322,1079.67486237,1103.47326731,5952644.1370666
2022-11-08,1568.40113819,1579.98766991,1219.58714731,1335.23811806,5876064.232336704
2022-11-07,1568.4940786,1608.79008466,1531.62480947,1568.31222311,1692185.2977213631
2022-11-06,1627.33809413,1639.40884879,1564.43772195,1568.52881983,991816.8886032726
2022-11-05,1644.88624482,1667.88309185,1621.37756543,1627.19371581,842233.4415191467
2022-11-04,1530.97009389,1678.30918847,1528.35543604,1644.75601639,2422887.7515927376
2022-11-03,1518.27358662,1558.91995143,1515.09292277,1530.87194295,1483753.6350117393
2022-11-02,1578.35083502,1621.36663044,1502.18339196,1518.96053511,2683271.143540146
2022-11-01,1572.67288857,1613.58000338,1563.28594973,1578.23679542,1407090.4594054623
2022-10-31,1590.89508808,1635.61443498,1545.95470152,1573.23728032,2148111.904932339
2022-10-30,1620.73568951,1640.35887809,1576.76474952,1590.86970553,1225564.0431439613
