date,addresses_count_active,addresses_count_sender,addresses_count_receiver
2023-09-23,275486,211628,155994
2023-09-22,294054,218589,174191
2023-09-21,440114,361216,175358
2023-09-20,296607,214295,181773
2023-09-19,293440,210228,180690
2023-09-18,287003,211809,169101
2023-09-17,269557,207513,155010
2023-09-16,278774,213898,160105
2023-09-15,291073,218914,171002
2023-09-14,353308,274484,184240
2023-09-13,1009297,935870,159717
2023-09-12,415435,338809,170712
2023-09-11,340231,259243,172727
2023-09-10,256741,191291,158325
2023-09-09,271641,195273,170948
2023-09-08,298559,221592,180928
2023-09-07,294167,217196,175561
2023-09-06,295470,214006,178598
2023-09-05,284220,201755,175454
2023-09-04,264353,186625,168283
2023-09-03,392309,320210,162523
2023-09-02,370779,292732,169391
2023-09-01,309285,230872,178918
2023-08-31,294526,214257,183605
2023-08-30,303856,213911,189797
2023-08-29,286221,203087,178801
2023-08-28,257703,181123,164802
2023-08-27,280358,216591,153974
2023-08-26,311969,232507,176780
2023-08-25,274491,190567,177713
2023-08-24,276947,198711,171443
2023-08-23,283393,203202,176165
2023-08-22,282993,195404,184086
2023-08-21,282657,199712,174767
2023-08-20,276712,211819,155232
2023-08-19,320469,247741,166916
2023-08-18,322167,234306,180418
2023-08-17,295477,201930,188949
2023-08-16,295662,213114,176016
2023-08-15,310970,226768,178577
2023-08-14,295788,214842,171901
2023-08-13,269443,203642,155487
2023-08-12,277327,209596,162676
2023-08-11,295175,215778,179965
2023-08-10,293851,207341,182780
2023-08-09,339931,251691,185143
2023-08-08,293687,206046,179961
2023-08-07,282689,200155,175539
2023-08-06,270733,200497,161862
2023-08-05,284041,212792,165062
2023-08-04,326349,248347,174144
2023-08-03,310478,232834,173910
2023-08-02,297008,218354,173428
2023-08-01,283863,201032,176667
2023-07-31,332844,246310,193317
2023-07-30,304170,235014,178160
2023-07-29,284662,210923,170259
2023-07-28,282402,200895,175298
2023-07-27,274167,195096,169200
2023-07-26,280296,199923,169210
2023-07-25,267694,187642,166586
2023-07-24,291789,207830,171434
2023-07-23,280452,214165,156940
2023-07-22,284458,208639,165912
2023-07-21,328360,226757,193785
2023-07-20,292874,203111,184737
2023-07-19,328504,227847,198780
2023-07-18,349351,235144,218559
2023-07-17,272201,187553,171749
2023-07-16,271530,193797,159830
2023-07-15,299767,217212,169485
2023-07-14,353650,249793,198257
2023-07-13,326551,228709,193662
2023-07-12,296696,206917,182819
2023-07-11,340049,246272,186754
2023-07-10,338143,249629,181682
2023-07-09,273766,198140,161638
2023-07-08,281292,201012,175190
2023-07-07,262460,178295,169813
2023-07-06,238720,162838,154085
